time;load
10.08.2022 17:00;61748
10.08.2022 17:15;61102
10.08.2022 17:30;61081
10.08.2022 17:45;60939
10.08.2022 18:00;60214
10.08.2022 18:15;59684
10.08.2022 18:30;59622
10.08.2022 18:45;59512
10.08.2022 19:00;58950
10.08.2022 19:15;58444
10.08.2022 19:30;57814
10.08.2022 19:45;57587
10.08.2022 20:00;57136
10.08.2022 20:15;56629
10.08.2022 20:30;56183
10.08.2022 20:45;55652
10.08.2022 21:00;55626
10.08.2022 21:15;55123
10.08.2022 21:30;54409
10.08.2022 21:45;53372
10.08.2022 22:00;53137
10.08.2022 22:15;52236
10.08.2022 22:30;51177
10.08.2022 22:45;50584
10.08.2022 23:00;50014
10.08.2022 23:15;49287
10.08.2022 23:30;48758
10.08.2022 23:45;48105
11.08.2022 00:00;47433
11.08.2022 00:15;47104
11.08.2022 00:30;46777
11.08.2022 00:45;46912
11.08.2022 01:00;45844
11.08.2022 01:15;45682
11.08.2022 01:30;45289
11.08.2022 01:45;45030
11.08.2022 02:00;44528
11.08.2022 02:15;44138
11.08.2022 02:30;44181
11.08.2022 02:45;44359
11.08.2022 03:00;44771
11.08.2022 03:15;44958
11.08.2022 03:30;45012
11.08.2022 03:45;44543
11.08.2022 04:00;44182
11.08.2022 04:15;44080
11.08.2022 04:30;44477
11.08.2022 04:45;45076
11.08.2022 05:00;46127
11.08.2022 05:15;46553
11.08.2022 05:30;47409
11.08.2022 05:45;48470
11.08.2022 06:00;50711
11.08.2022 06:15;52320
11.08.2022 06:30;53827
11.08.2022 06:45;54749
11.08.2022 07:00;55687
11.08.2022 07:15;56758
11.08.2022 07:30;57992
11.08.2022 07:45;58975
11.08.2022 08:00;59989
11.08.2022 08:15;60480
11.08.2022 08:30;61675
11.08.2022 08:45;62214
11.08.2022 09:00;62739
11.08.2022 09:15;62203
11.08.2022 09:30;64074
11.08.2022 09:45;64754
11.08.2022 10:00;65672
11.08.2022 10:15;65616
11.08.2022 10:30;65991
11.08.2022 10:45;66398
11.08.2022 11:00;66168
11.08.2022 11:15;66613
11.08.2022 11:30;67153
11.08.2022 11:45;67443
11.08.2022 12:00;65753
11.08.2022 12:15;66325
11.08.2022 12:30;66776
11.08.2022 12:45;67228
11.08.2022 13:00;68227
11.08.2022 13:15;67613
11.08.2022 13:30;66746
11.08.2022 13:45;66338
11.08.2022 14:00;65750
11.08.2022 14:15;65174
11.08.2022 14:30;64627
11.08.2022 14:45;64524
11.08.2022 15:00;64751
11.08.2022 15:15;63831
11.08.2022 15:30;62945
11.08.2022 15:45;62520
11.08.2022 16:00;62452
11.08.2022 16:15;62086
11.08.2022 16:30;61298
11.08.2022 16:45;60730
11.08.2022 17:00;60167
11.08.2022 17:15;59968
11.08.2022 17:30;59720
11.08.2022 17:45;59439
11.08.2022 18:00;59143
11.08.2022 18:15;58780
11.08.2022 18:30;58597
11.08.2022 18:45;58312
11.08.2022 19:00;57861
11.08.2022 19:15;57610
11.08.2022 19:30;57351
11.08.2022 19:45;56992
11.08.2022 20:00;56983
11.08.2022 20:15;56040
11.08.2022 20:30;55398
11.08.2022 20:45;55173
11.08.2022 21:00;55149
11.08.2022 21:15;54761
11.08.2022 21:30;54386
11.08.2022 21:45;53562
11.08.2022 22:00;53222
11.08.2022 22:15;52132
11.08.2022 22:30;51207
11.08.2022 22:45;50509
11.08.2022 23:00;49353
11.08.2022 23:15;48774
11.08.2022 23:30;47965
11.08.2022 23:45;47217
12.08.2022 00:00;47473
12.08.2022 00:15;46698
12.08.2022 00:30;46340
12.08.2022 00:45;46434
12.08.2022 01:00;46771
12.08.2022 01:15;46660
12.08.2022 01:30;46477
12.08.2022 01:45;46144
12.08.2022 02:00;46097
12.08.2022 02:15;45922
12.08.2022 02:30;45875
12.08.2022 02:45;45543
12.08.2022 03:00;45371
12.08.2022 03:15;45249
12.08.2022 03:30;45201
12.08.2022 03:45;45182
12.08.2022 04:00;45754
12.08.2022 04:15;46146
12.08.2022 04:30;45869
12.08.2022 04:45;45919
12.08.2022 05:00;47057
12.08.2022 05:15;47432
12.08.2022 05:30;48046
12.08.2022 05:45;49133
12.08.2022 06:00;50421
12.08.2022 06:15;51880
12.08.2022 06:30;53042
12.08.2022 06:45;54345
12.08.2022 07:00;55262
12.08.2022 07:15;56184
12.08.2022 07:30;57265
12.08.2022 07:45;58470
12.08.2022 08:00;59703
12.08.2022 08:15;60330
12.08.2022 08:30;61121
12.08.2022 08:45;61707
12.08.2022 09:00;62354
12.08.2022 09:15;62727
12.08.2022 09:30;63461
12.08.2022 09:45;63822
12.08.2022 10:00;63992
12.08.2022 10:15;64193
12.08.2022 10:30;63708
12.08.2022 10:45;64396
12.08.2022 11:00;64667
12.08.2022 11:15;65029
12.08.2022 11:30;66010
12.08.2022 11:45;66105
12.08.2022 12:00;66052
12.08.2022 12:15;65765
12.08.2022 12:30;65567
12.08.2022 12:45;65744
12.08.2022 13:00;65438
12.08.2022 13:15;65263
12.08.2022 13:30;64700
12.08.2022 13:45;64305
12.08.2022 14:00;64225
12.08.2022 14:15;63769
12.08.2022 14:30;63201
12.08.2022 14:45;62751
12.08.2022 15:00;62474
12.08.2022 15:15;61977
12.08.2022 15:30;61245
12.08.2022 15:45;60895
12.08.2022 16:00;60531
12.08.2022 16:15;59780
12.08.2022 16:30;59162
12.08.2022 16:45;59247
12.08.2022 17:00;59118
12.08.2022 17:15;58942
12.08.2022 17:30;59242
12.08.2022 17:45;58732
12.08.2022 18:00;57953
12.08.2022 18:15;57507
12.08.2022 18:30;56959
12.08.2022 18:45;56354
12.08.2022 19:00;56187
12.08.2022 19:15;56250
12.08.2022 19:30;55584
12.08.2022 19:45;55293
12.08.2022 20:00;54609
12.08.2022 20:15;54532
12.08.2022 20:30;53820
12.08.2022 20:45;53572
12.08.2022 21:00;53660
12.08.2022 21:15;52921
12.08.2022 21:30;52265
12.08.2022 21:45;51707
12.08.2022 22:00;51515
12.08.2022 22:15;50474
12.08.2022 22:30;49633
12.08.2022 22:45;48926
12.08.2022 23:00;48439
12.08.2022 23:15;47891
12.08.2022 23:30;47344
12.08.2022 23:45;46777
13.08.2022 00:00;45144
13.08.2022 00:15;44893
13.08.2022 00:30;44487
13.08.2022 00:45;43894
13.08.2022 01:00;43733
13.08.2022 01:15;43492
13.08.2022 01:30;43068
13.08.2022 01:45;43204
13.08.2022 02:00;42840
13.08.2022 02:15;42789
13.08.2022 02:30;42817
13.08.2022 02:45;42271
13.08.2022 03:00;41913
13.08.2022 03:15;41834
13.08.2022 03:30;41604
13.08.2022 03:45;41325
13.08.2022 04:00;41273
13.08.2022 04:15;41166
13.08.2022 04:30;41217
13.08.2022 04:45;41324
13.08.2022 05:00;41587
